,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE
20,CCCCCCCC(=O)O,10.03199,-0.66991,0.30284,-0.48123,1.8,2.83859,89.25838,-0.53,62.2496,37.3,0.875,2.4315,-10.9,0.933,11.833,1.74998,79.77789,198.1274,84.7076,282.08333,53.73087
21,CCCCCCCCCC(=O)O,10.13449,-0.66337,0.30284,-0.48123,1.5,2.86139,110.40621,-0.53,74.97949,37.3,0.9,3.2117,-10.96,0.974,11.934,1.90273,79.14994,173.79966,109.16008,282.20807,52.97818
22,CCCCCCCCCCCC(=O)O,10.2064,-0.65931,0.30284,-0.48123,1.28571,2.88406,132.28342,-0.53,87.70937,37.3,0.91667,3.9919,-10.98,0.958,11.938,2.02742,79.63253,238.17915,44.60178,282.02926,53.63958
23,CCCCCCCCCCCCC(=O)O,10.23487,-0.65781,0.30284,-0.48123,1.2,2.89468,143.47138,-0.53,94.07431,37.3,0.92308,4.382,-10.84,0.952,11.792,1.7724,78.60726,197.72847,85.28773,282.26453,52.37904
24,CCCCCCCCCCCCCC(=O)O,10.25964,-0.65655,0.30284,-0.48123,1.125,2.90471,154.81433,-0.53,100.43925,37.3,0.92857,4.7721,-10.87,0.955,11.825,1.88841,78.87239,238.2971,44.41126,281.95669,52.95201
25,CCCCCCCCCCCCCCC(=O)O,10.2814,-0.65548,0.30284,-0.48123,1.05882,2.91413,166.30475,-0.53,106.8042,37.3,0.93333,5.1622,-10.81,0.973,11.783,2.06863,78.60473,237.50238,45.18863,281.93934,52.7017
26,CCCCCCCCCCCCCCCC(=O)O,10.30065,-0.65456,0.30284,-0.48123,1,2.92297,177.93577,-0.53,113.16914,37.3,0.9375,5.5523,-10.8,0.985,11.785,1.65785,78.01435,195.62031,87.06788,281.93652,52.11414
27,CCCCCCCCCCCCCCCCC(=O)O,10.31781,-0.65376,0.30284,-0.48123,0.94737,2.93124,189.70109,-0.53,119.53408,37.3,0.94118,5.9424,-10.76,0.967,11.727,1.84071,74.53007,191.01532,86.7786,277.04225,53.52413
28,CCCCCCCCCCCCCCCCCC(=O)O,10.33321,-0.65306,0.30284,-0.48123,0.9,2.93898,201.5949,-0.53,125.89902,37.3,0.94444,6.3325,-10.82,1.018,11.838,1.95007,78.11636,168.83398,114.01454,282.09685,52.05582
29,CCCCCCCCCCCCCCCCCCCC(=O)O,10.35968,-0.65189,0.30284,-0.48123,0.81818,2.95302,225.74713,-0.53,138.62891,37.3,0.95,7.1127,-10.73,0.955,11.685,1.9071,78.55529,192.77836,89.84181,281.8685,52.7231
30,CCCCCCCCCCCCCCCCCCCCCC(=O)O,10.38163,-0.65095,0.30284,-0.48123,0.75,2.96538,250.35447,-0.53,151.35879,37.3,0.95455,7.8929,-10.68,1.02,11.7,1.86012,78.13479,220.20703,62.86258,282.31794,51.85316
31,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,10.40012,-0.65018,0.30284,-0.48123,0.69231,2.9763,275.38421,-0.53,164.08868,37.3,0.95833,8.6731,-10.66,0.956,11.616,1.88534,74.81275,238.23006,43.72699,281.20538,49.64368
32,CCCCCCC/C=C/C(=O)O,10.04768,-0.84393,0.32748,-0.47808,1.91667,3.04963,138.77401,-0.79,74.28988,37.3,0.7,2.9877,-10.69,0.248,10.938,2.62579,73.38114,232.10046,46.11966,277.46845,51.949
33,CCCC/C=C\CCCCCCCC(=O)O,10.25051,-0.66772,0.30284,-0.48123,1.5,3.03323,185.17436,-0.79,99.74965,37.3,0.78571,4.5481,-9.68,0.971,10.651,1.81589,72.65422,204.34655,78.06049,281.65537,47.03516
34,CCCC/C=C\CCCCCCCCC(=O)O,10.27379,-0.66461,0.30284,-0.48123,1.41176,3.02873,197.0985,-0.79,106.11459,37.3,0.8,4.9382,-9.62,0.948,10.568,1.8811,71.24352,201.25465,81.29486,281.79784,45.48199
35,CCCCCC/C=C\CCCCCCCC(=O)O,10.29152,-0.66573,0.30284,-0.48123,1.33333,3.05585,209.1425,-0.79,112.47954,37.3,0.8125,5.3283,-9.63,0.96,10.59,1.89727,72.04412,201.97995,80.44648,281.67476,46.40567
36,Oc1cc(O)c2c(c1)Oc1cc(O)cc(O)c1C2c1ccccc1,10.36896,-0.49431,0.13851,-0.50768,1.16667,2.05264,876.73234,-3.34,137.19518,90.15,0.05263,3.7949,-9.04,0.276,9.316,1.71221,68.05854,188.2636,75.79033,263.30226,60.79259
37,CCCCCCCC/C=C\CCCCCCCC(=O)O,10.32408,-0.66423,0.30284,-0.48123,1.2,3.06616,233.57272,-0.79,125.20942,37.3,0.83333,6.1085,-9.62,0.963,10.583,1.52172,71.23316,199.5928,83.12206,281.96319,45.30628
38,CCCCCC/C=C\CCCCCCCCCC(=O)O,10.32678,-0.66067,0.30284,-0.48123,1.2,3.05018,233.57272,-0.79,125.20942,37.3,0.83333,6.1085,-9.64,0.965,10.605,2.2,66.66997,185.74087,96.95487,281.94407,40.76221
39,CCCCCCCC/C=C\CCCCCCCCCC(=O)O,10.35325,-0.65949,0.30284,-0.48123,1.09091,3.06393,258.43286,-0.79,137.9393,37.3,0.85,6.8887,-9.61,0.966,10.576,1.49446,73.98741,201.09302,79.3584,279.69975,50.32397
40,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,10.37686,-0.65646,0.30284,-0.48123,1,3.06201,283.6945,-0.79,150.66919,37.3,0.86364,7.6689,-9.58,0.984,10.564,1.62647,68.32938,199.30846,81.00364,279.56043,44.80526
41,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O,10.39644,-0.65436,0.30284,-0.48123,0.92308,3.06074,309.3325,-0.79,163.39907,37.3,0.875,8.4491,-9.5,0.972,10.472,1.92559,74.57089,197.68341,85.19711,282.12885,48.47835
42,CCCCCC/C=C\CC/C=C\CCCC(=O)O,10.26743,-0.69962,0.30285,-0.48123,1.38889,3.20173,241.48152,-1.05,111.78993,37.3,0.6875,5.1043,-9.54,0.928,10.468,1.88948,70.5894,192.5353,90.1127,281.89633,44.72938
43,CC/C=C\C/C=C\C/C=C\CCCCCC(=O)O,10.27429,-0.68722,0.30284,-0.48123,1.5,3.2745,274.82155,-1.31,111.10033,37.3,0.5625,4.8803,-9.53,0.972,10.502,1.71821,69.96106,184.13602,101.45005,284.8344,41.16297
44,C=CC/C=C\C/C=C\C/C=C\CCCCC(=O)O,10.26258,-0.70239,0.30284,-0.48123,1.44444,3.33572,298.21882,-1.57,110.41073,37.3,0.4375,4.6563,-9.59,0.877,10.467,1.33553,68.04542,183.8972,97.94765,281.09318,42.98855
